murli_category,label,language,text,source
CA_future_deadline,create_action,en,deadline is next monday for the report,CA12_deadline_mentions
CA_future_deadline,create_action,en,the customer wants the prototype delivered by EOD. We can't push this deadline any further,CA12_deadline_mentions
CA_future_deadline,create_action,en,The presentation submission closes next Wednesday. Please get your part done by lunch,CA12_deadline_mentions
CA_future_deadline,create_action,hinglish,"estimate due hai next Monday, miss mat karna",CA12_deadline_mentions
CA_future_deadline,create_action,en,Kindly review the release notes n share feedback by next week,CA01_direct_requests
CA_future_deadline,create_action,hinglish,the client ko test plan delivery by Friday chahiye,CA12_deadline_mentions
CA_future_deadline,create_action,hinglish,"minutes due hai Thursday, miss mat karna",CA12_deadline_mentions
CA_future_deadline,create_action,tenglish,deck deadline repu,CA12_deadline_mentions
CA_future_deadline,create_action,hinglish,the customer ko pricing sheet delivery by tomorrow chahiye,CA12_deadline_mentions
CA_future_deadline,create_action,tenglish,risk assessment deadline repu,CA12_deadline_mentions
CA_future_deadline,create_action,hinglish,Boss ne bola vendor agreement chahiye by tomorrow. Jaldi bhejo,CA01_direct_requests
CA_future_deadline,create_action,en,Don't miss the audit report deadline. Last date is this Friday,CA12_deadline_mentions
CA_future_deadline,create_action,en,Deadline is Friday for the presentation,CA12_deadline_mentions
CA_future_deadline,create_action,en,The vendor agreement submission closes this Friday. Please get your part done before 3pm,CA12_deadline_mentions
CA_future_deadline,create_action,en,"Final deadline for the SOW is next Monday. Anyone who hasn't submitted yet needs to do it by next week, no exceptions",CA12_deadline_mentions
CA_future_deadline,create_action,tenglish,contract deadline repu,CA12_deadline_mentions
CA_future_deadline,create_action,en,Need you to update the pricing sheet with the latest numbers by tomorrow,CA01_direct_requests
CA_future_deadline,create_action,en,"Heads up, the compliance doc submission deadline is this Monday and we're still waiting on inputs from IT. Please prioritize this over everything else",CA12_deadline_mentions
CA_future_deadline,create_action,hinglish,"Nisha, SOW compile karke leadership ko bhejo by tomorrow. Latest data hona chahiye usme",CA01_direct_requests
CA_future_deadline,create_action,en,Please compile the brochure and share it with the partner. They need it by next week,CA01_direct_requests
CA_future_deadline,create_action,tenglish,proposal deadline monday,CA12_deadline_mentions
CA_future_deadline,create_action,en,The estimate is due tomorrow,CA12_deadline_mentions
CA_future_deadline,create_action,en,The onboarding doc is due this Friday,CA12_deadline_mentions
CA_future_deadline,create_action,en,The report is due next week,CA12_deadline_mentions
CA_future_deadline,create_action,tenglish,client ki feature spec delivery repu udayam lopala kaavaali,CA12_deadline_mentions
CA_future_deadline,create_action,tenglish,"report final deadline Wednesday, inkaa procurement nunchi input raledhu. Priority meeda pettandi",CA12_deadline_mentions
CA_future_deadline,create_action,en,We need to ship the release notes by end of day tomorrow,CA12_deadline_mentions
CA_future_deadline,create_action,en,The design mockup submission closes Friday. Please get your part done by Monday,CA12_deadline_mentions
CA_future_deadline,create_action,en,Don't miss the spreadsheet deadline. Last date is next Wednesday,CA12_deadline_mentions
CA_future_deadline,create_action,en,"Heads up, the compliance doc submission deadline is this Monday and we're still waiting on inputs frm business dev. Please prioritize this over everything else",CA12_deadline_mentions
CA_future_deadline,create_action,en,Submit everything by noon tomorrow,CA12_deadline_mentions
CA_future_deadline,create_action,en,Please send the playbook by next week,CA01_direct_requests
CA_future_deadline,create_action,hinglish,playbook ki deadline Tuesday hai,CA12_deadline_mentions
CA_future_deadline,create_action,en,We need to ship the contract by noon tomorrow,CA12_deadline_mentions
CA_future_deadline,create_action,tenglish,spreadsheet last date Tuesday Inkaa cheyanivaaru thvaraga cheyandi,CA12_deadline_mentions
CA_future_deadline,create_action,tenglish,playbook deadline Thursday,CA12_deadline_mentions
CA_future_deadline,create_action,tenglish,vendor agreement deadline tuesday,CA12_deadline_mentions
CA_future_deadline,create_action,en,"Final deadline for the document is this Thursday. Anyone who hasn't submitted yet needs to do it by end of week, no exceptions",CA12_deadline_mentions
CA_future_deadline,create_action,tenglish,"proposal due Wednesday, miss avvakandi",CA12_deadline_mentions
CA_future_deadline,create_action,en,The PO is due next Monday,CA12_deadline_mentions
CA_future_deadline,create_action,en,please compile the brochure and share it with the director. they need it by eod,CA01_direct_requests
CA_future_deadline,create_action,tenglish,pls analysis pampu eod lopala,CA01_direct_requests
CA_future_deadline,create_action,tenglish,"SOW final deadline Wednesday, inkaa procurement nunchi input raledhu. Priority meeda pettandi",CA12_deadline_mentions
CA_future_deadline,create_action,en,Everyone needs to review their proposal by end of day tomorrow. No exceptions this time,CA01_direct_requests
CA_future_deadline,create_action,en,Kindly review the playbook and share feedback by end of day tomorrow,CA01_direct_requests
CA_future_deadline,create_action,hinglish,"Mohan, spreadsheet review karke customer success ko bhej do tonight",CA01_direct_requests
CA_future_deadline,create_action,en,the deck submission closes this thursday please get your part done today itself,CA12_deadline_mentions
CA_future_deadline,create_action,tenglish,client ki NDA delivery Friday lopala kaavaali,CA12_deadline_mentions
CA_future_deadline,create_action,tenglish,"expense report final deadline Thursday, inkaa logistics nunchi input raledhu. Priority meeda pettandi",CA12_deadline_mentions
CA_future_deadline,create_action,hinglish,"file due hai this monday, miss mat karna",CA12_deadline_mentions
CA_future_deadline,create_action,tenglish,"expense report final deadline friday, inkaa sales nunchi input raledhu. priority meeda pettandi",CA12_deadline_mentions
CA_future_deadline,create_action,en,"Final deadline for the user story is next Wednesday. Anyone who hasn't submitted yet needs to do it by noon tomorrow, no exceptions",CA12_deadline_mentions
CA_future_deadline,create_action,tenglish,budget deadline Monday,CA12_deadline_mentions
CA_future_deadline,create_action,en,Heads up the pricing sheet submission deadline is tomorrow and we're still waiting on inputs from HR Please prioritize this over everything else,CA12_deadline_mentions
CA_future_deadline,create_action,hinglish,Boss ne bola deck chahiye by lunch Jaldi bhjo,CA01_direct_requests
CA_future_deadline,create_action,hinglish,"compliance doc due hai next wednesday, miss mat karna",CA12_deadline_mentions
CA_future_deadline,create_action,en,The user story is due next week,CA12_deadline_mentions
CA_future_deadline,create_action,hinglish,analysis ki deadline next Monday hai,CA12_deadline_mentions
CA_future_deadline,create_action,tenglish,document last date repu. inkaa cheyanivaaru thvaraga cheyandi,CA12_deadline_mentions
CA_future_deadline,create_action,en,The brief submission closes this Friday. Please get your part done by noon tomorrow,CA12_deadline_mentions
CA_future_deadline,create_action,en,Don't miss the contract deadline Last date is Wednesday,CA12_deadline_mentions
CA_future_deadline,create_action,en,The spreadsheet submission closes Monday. Please get your part done before the call,CA12_deadline_mentions
CA_future_deadline,create_action,hinglish,"expense report due hai Wednesday, miss mat karna",CA12_deadline_mentions
CA_future_deadline,create_action,en,"Heads up, the dashboard submission deadline is day after tomorrow and we're still waiting on inputs from accounts. Please prioritize this over everything else",CA12_deadline_mentions
CA_future_deadline,create_action,hinglish,"risk assessment due hai next Monday, miss mat karna",CA12_deadline_mentions
CA_future_deadline,create_action,hinglish,Pls proposal bhej do by tomorrow,CA01_direct_requests
CA_future_deadline,create_action,en,Deadline is day after tomorrow for the prototype,CA12_deadline_mentions
CA_future_deadline,create_action,en,the partner wants the timesheet delivered by tomorrow. We can't push this deadline any further,CA12_deadline_mentions
CA_future_deadline,create_action,tenglish,Neha timesheet review chesi EOD lopala pampandi,CA01_direct_requests
CA_future_deadline,create_action,en,Deadline is tomorrow for the NDA,CA12_deadline_mentions
